Kod;Produktgrupp;Artikelnr;RSK-nr;Benämning;Rabatt;Rabatt2;NtoPris;ArtRabatt
V;387104;;;Ridåfläktar Frico II;55,56;;;;
V;387106;;;Värmefläktar Frico;53,90;;;;
V;387108;;;VärmefläktarTbh, Frico;56,00;;;;
V;387200;;;Värmefläktar Elbjörn;52,21;;;;
V;387500;;;Avfuktare  Fresh;18,37;;;;
V;387990;;;Solar Plus Värmefläktar;50,00;;;;
V;387994;;;Solar Netto;50,00;;;;
V;387995;;;Solar Plus;50,00;;;;
V;388100;;;Elberedare Nibe I;22,45;;;;
V;388102;;;Elberedare Nibe II;24,49;;;;
V;388104;;;Elpatroner O Elutr Nibe;39,18;;;;
V;388106;;;Elpatroner o Elutrustning NIBE;46,53;;;;
V;388108;;;Luftfilter Nibe;39,39;;;;
V;388300;;;Tbh CTC;42,63;;;;
V;388994;;;Solar Netto;50,00;;;;
V;388995;;;Solar Plus;50,00;;;;
V;389100;;;Värmekabel T2Blå PTM;47,59;;;;
V;389102;;;Värmekabel T2Röd PTM;49,97;;;;
V;389103;;;Värmekabel T2Green PTM;47,76;;;;
V;389104;;;Värmekabel Tak PTM;53,21;;;;
V;389105;;;Värmekabel T2Black nVent;39,80;;;;
V;389106;;;Värmekabel Rör I  PTM;60,34;;;;
V;389108;;;Värmekabel Rör II PTM;57,90;;;;
V;389110;;;Värmekabel Qnet PTM;49,96;;;;
V;389112;;;Värmekabel Mark PTM;54,94;;;;
V;389116;;;Värmekabel Ind. PTM;57,03;;;;
V;389118;;;Värmekabel IndTbh, Ptm;57,47;;;;
V;389130;;;Värmekabel TakTbh, Ptm;56,31;;;;
V;389132;;;VärmekabelTbh, Ptm;56,00;;;;
V;389200;;;Värmekabel Devikit 100 Devi;57,06;;;;
V;389202;;;Värmekabel Devikit-Free Devi;61,00;;;;
V;389204;;;Värmekabel Devimat Devi;57,56;;;;
V;389206;;;Värmekabel Devi;59,46;;;;
V;389208;;;Värmekabel Deviflex Devi;57,55;;;;
V;389210;;;Värmekabel Iceguard Devi;58,32;;;;
V;389212;;;Värmekabel Devisnow Devi;56,30;;;;
V;389230;;;VärmekabelTbh Devi I;59,62;;;;
V;389232;;;VärmekabelTbh Devi II;60,57;;;;
V;389300;;;Värmekabel Axjo;52,93;;;;
V;389400;;;Cable Kit 200 Ebeco;50,00;;;;
V;389402;;;Cable Kit 500 Ebeco;50,00;;;;
V;389404;;;Folie Ebeco;50,00;;;;
V;389406;;;Thermoflex Ebeco;37,24;;;;
V;389408;;;Tillbehör golvvärmekabel Ebeco;50,00;;;;
V;389410;;;Tillbehör folie Ebeco;50,00;;;;
V;389412;;;Cableflex Ebeco;46,94;;;;
V;389414;;;Multiflex Ebeco;44,39;;;;
V;389416;;;Frostskydd Tak  Ebeco;48,98;;;;
V;389418;;;Frostvakt 10 Ebeco;48,98;;;;
V;389419;;;F-10 Ebeco;54,08;;;;
V;389420;;;Tillbehör tak och mark Ebeco;43,88;;;;
V;389422;;;Frostvakt 25 Ebeco;50,00;;;;
V;389426;;;Folie husvagn Ebeco;46,74;;;;
V;389427;;;Takfolie Ebeco;46,74;;;;
V;389428;;;Spegelvärmare Ebeco;46,74;;;;
V;389436;;;Värmekabel industri Ebeco;32,61;;;;
V;389438;;;Värmekabel industri tillbehör Ebeco;32,61;;;;
V;389994;;;Solar Netto;50,00;;;;
V;389995;;;Solar Plus;50,00;;;;
V;390100;;;Köksfläktar Futurum;40,01;;;;
V;390150;;;Luftkonditionering Thermex Scandinavia;34,35;;;;
V;390994;;;Solar Netto;50,00;;;;
V;393100;;;Fläktar Pax;39,60;;;;
V;393200;;;Intellivent Fresh;40,80;;;;
V;393202;;;Fläktar ochTbh Fresh;40,80;;;;
V;393204;;;Tillbehör väggventiler Fresh;47,96;;;;
V;393300;;;Aggregat ochTbh Tylö;42,24;;;;
V;393994;;;Solar Netto;50,00;;;;
V;393995;;;Solar Plus;50,00;;;;
V;394100;;;Handdukstorkar Somatherm;45,43;;;;
V;394105;;;Handtork Somatherm;45,92;;;;
V;394200;;;Handdukstorkar LVI I;46,46;;;;
V;394202;;;Handdukstorkar LVI II;43,93;;;;
V;394300;;;Handdukstorkar Pax;49,89;;;;
V;394320;;;Dispenser PAX;60,20;;;;
V;394406;;;Ficklampor Nitecore;41,31;;;;
V;394408;;;Ficklampor Ptx;42,38;;;;
V;394500;;;Värmefläktar Adax;55,97;;;;
V;394550;;;Centraldammsugare CDS;44,16;;;;
V;394600;;;Centraldammsugare Flexit;36,81;;;;
V;394630;;;Brandvarnare;30,25;;;;
V;394700;;;Batterier ochTbh Pointex;41,70;;;;
V;394800;;;Hand och Hårtorkar Top Industri;46,81;;;;
V;394994;;;Solar Netto;50,00;;;;
V;394995;;;Solar Plus;50,00;;;;
V;397120;;;X-Guard I S Axelent;31,63;;;;
V;397125;;;X-Guard tbh I T Axelent;31,63;;;;
V;397931;;;Subc 97-nummer II 2599;70,85;;;;
V;397994;;;Solar Netto;50,00;;;;
V;399994;;;Solar Netto;50,00;;;;
V;401100;;;Jet-Kopplingar Ma Gbg Rör;50,54;;;;
V;401201;;;SML Gjutjärnsavlopp Rör Preis;44,09;;;;
V;401202;;;SML Gjutjärnsavlopp Rördelar;44,09;;;;
V;401203;;;SML Gjutjärnsavlopp Kopplingar;44,09;;;;
V;401992;;;Gjutjärnsavlopp Kopplingar;60,00;;;;
V;401994;;;Solar Netto;50,00;;;;
V;402100;;;Elförzinkade Rör Mapress Geberit;67,63;;;;
V;402102;;;Pressrördelar Fz Geberit I;52,76;;;;
V;402104;;;Pressrördelar Fz Geberit II;54,39;;;;
V;402108;;;Elfz Rör Supersize Ma Geberit;62,51;;;;
V;402110;;;Pressrördelar Elfz Supersize Geberit;48,93;;;;
V;402114;;;Mapress Rf Delar Geberit;62,76;;;;
V;402264;;;RF Pressrördelar Sanha;35,71;;;;
V;402300;;;Reparationskoppling MMA;59,88;;;;
V;402500;;;Tubrör Handelskval. Halltorp;62,74;;;;
V;402502;;;Tubrör Tryckkärlkv. Halltorp;65,81;;;;
V;402504;;;Rör Smidda Galv Ruukki;51,91;;;;
V;402506;;;Tubkrökar Halltorp;52,63;;;;
V;402508;;;Tubkrökar Tryckkärlskvalite Halltorp;49,18;;;;
V;402510;;;Övriga Tubrördelar Halltorp;48,27;;;;
V;402512;;;Svetsfläns Halltorp;58,54;;;;
V;402514;;;Gängfläns Halltorp;58,20;;;;
V;402518;;;Smidda Rördelar Halltorp;55,55;;;;
V;402520;;;Aducerade Rördelar Halltorp;51,04;;;;
V;402710;;;Rostfritt Avlopp Rör Blücher;39,78;;;;
V;402712;;;Rostfritt Avlopp Rördelar Blücher;38,71;;;;
V;402800;;;Blårör Halltorp;0,00;;;;
V;402890;;;Temponox rör Viega;31,72;;;;
V;402892;;;Viega temponox delar Viega;31,72;;;;
V;402901;;;Viega Megapress;36,49;;;;
V;402903;;;Elförzinkad Press typ V Viega;57,33;;;;
V;402904;;;T-Plus För Stålrör Flamco;53,49;;;;
V;402908;;;Klamsvep Press Fz G Ahlman;80,06;;;;
V;402912;;;Flänspackning;67,55;;;;
V;402990;;;Solar Plus Fzb Rör;60,00;;;;
V;402991;;;Solar Plus Fzb Delar;60,00;;;;
V;402992;;;Solar Plus Rf Rör;60,00;;;;
V;402993;;;Solar Plus Rf Delar;60,00;;;;
V;402994;;;Solar Netto;50,00;;;;
V;402995;;;Solar Plus;60,00;;;;
V;403100;;;Kopparrör Raka Cupori I;48,44;;;;
V;403102;;;Kopparrör Raka Cupori II;44,04;;;;
V;403104;;;Prisolrör Cupori I;29,73;;;;
V;403106;;;Prisolrör Cupori II;37,76;;;;
V;403108;;;Tub-E White Cu-Rör Cupori;57,14;;;;
V;403200;;;Vatette Kl.Kpl Gbg Vvs I;58,19;;;;
V;403202;;;Vatette Kl.Kpl Gbg Vvs II;61,06;;;;
V;403204;;;Vatette Kl.Kpl Gbg Vvs III;61,97;;;;
V;403205;;;Vatette Kl.Kpl.Fkr Gbg Vvs X;58,96;;;;
V;403206;;;Vatette Kl.Kpl.Fkr Gbg Vvs;58,34;;;;
V;403300;;;Pressrördelar Cu M Geberit I;53,33;;;;
V;403302;;;Pressrördelar Cu M Geberit II;53,85;;;;
V;403304;;;Pressrördelar Cu M Supersize Geberit;54,57;;;;
V;403500;;;Klämringskopplingar VSH I;51,02;;;;
V;403502;;;Klämringskopplingar VSH II;49,49;;;;
V;403552;;;CU Pressrördelar 2 Sanha;48,98;;;;
V;403554;;;CU Tillbehör Press Sanha;35,71;;;;
V;403604;;;Kl.Kpl.Conex LK;36,73;;;;
V;403700;;;Solar Plus Metallrördelar I Ezze;58,74;;;;
V;403702;;;Solar Plus Metallrördelar II Ezze;58,55;;;;
V;403704;;;Stödhylsor För Cu-Rör Ezze;62,63;;;;
V;403706;;;Halvkopplingar-Krk Ezze;57,23;;;;
V;403800;;;Halvkopplingar Broen;54,07;;;;
V;403802;;;Kl. Kpl. Kuterlite Broen;58,20;;;;
V;403804;;;Klämring Till Kulventil Ballofix Broen;38,95;;;;
V;403900;;;Fkr Kopparrör Purus;40,72;;;;
V;403901;;;Fkr Kopparrör Purus X;41,61;;;;
V;403902;;;Klämringskopplingar FPL TA;49,54;;;;
V;403904;;;Kapillärrördelar Halltorp;64,43;;;;
V;403905;;;Koppardelar Hårdlöd Halltorp;57,14;;;;
V;403916;;;Halvkopplingar Markaryd;52,23;;;;
V;403924;;;CU T-plus för CU Flamco;59,78;;;;
V;403926;;;Svets och Lödning Tubman;62,11;;;;
V;403930;;;Pressrördelar CU typ V Viega I;60,43;;;;
V;403931;;;Pressrördelar CU typ V Viega X;52,47;;;;
V;403932;;;Pressrördelar CU typ V Viega II;51,75;;;;
V;403990;;;Solar Plus CU Press I;60,00;;;;
V;403991;;;Solar Plus CU Press II;60,00;;;;
V;403992;;;Solar Plus CU Press Fkr;60,00;;;;
V;403994;;;Solar Netto;50,00;;;;
V;403995;;;Solar Plus;60,00;;;;
V;403997;;;Anskaffningsmateriel AVC;30,00;;;;
V;404110;;;Golvvärme rör LK I;40,82;;;;
V;404112;;;Golvvärme rör LK II;39,80;;;;
V;404114;;;PAL rör LK I;40,82;;;;
V;404116;;;PAL rör LK II;39,80;;;;
V;404118;;;Universal rör LK I;40,82;;;;
V;404120;;;Universal rör LK II;39,80;;;;
V;404122;;;Golvvärme Fördelare LK;37,76;;;;
V;404124;;;Golvvärme förläggning LK I;38,78;;;;
V;404126;;;Golvvärme förläggning LK II;37,76;;;;
V;404128;;;Golvvärme kopplingar LK I ;38,78;;;;
V;404130;;;Golvvärme kopplingar LK II;37,76;;;;
V;404132;;;Golvvärme reglering LK I;38,78;;;;
V;404134;;;Golvvärme reglering LK II;37,76;;;;
V;404136;;;Golvvärme skåp LK I;38,78;;;;
V;404138;;;Golvvärme skåp LK II;37,76;;;;
V;404140;;;Golvvärme Tillbehör LK;37,76;;;;
V;404142;;;Pushfit Fördelare LK;33,67;;;;
V;404144;;;Pushfit Förläggning LK;33,67;;;;
V;404146;;;Pushfit Kopplingar LK;33,67;;;;
V;404150;;;Pushfit Skåp LK;53,06;;;;
V;404152;;;Pushfit Tillbehör LK;33,67;;;;
V;404154;;;Universal Fördelare LK I;53,06;;;;
V;404156;;;Universal Fördelare LK II;52,04;;;;
V;404158;;;Universal förläggning LK I          ;53,06;;;;
V;404160;;;Universal förläggning LK II           ;52,04;;;;
V;404162;;;Universal Skåp LK I;53,06;;;;
V;404164;;;Universal Skåp LK II;52,04;;;;
V;404166;;;Universal Tillbehör LK;52,04;;;;
V;404168;;;Universal/PAL kopplingar LK I  ;49,04;;;;
V;404170;;;Universal/PAL Kopplingar LK II;51,02;;;;
V;404208;;;Tomrör För PEX-Rör Uponor;40,87;;;;
V;404212;;;Tappvattenrör Uponor II;35,66;;;;
V;404214;;;Universalrör Uponor I;35,66;;;;
V;404216;;;Universalrör Uponor II;35,66;;;;
V;404218;;;MLC rör Uponor I;35,66;;;;
V;404220;;;MLC rör Uponor II;35,66;;;;
V;404222;;;Golvvärme/Värmerör Uponor I;35,66;;;;
V;404224;;;Golvvärme/Värmerör Uponor II;35,66;;;;
V;404226;;;Metallic Rör Uponor;35,66;;;;
V;404228;;;Golvvärme Förläggmatrial Uponor;30,61;;;;
V;404230;;;Golvvärme Montagematerial Uponor;30,61;;;;
V;404232;;;Golvvärme Regleringsmaterial Uponor;30,61;;;;
V;404234;;;Tappvatten montage material Uponor I;48,98;;;;
V;404236;;;Tappvatten montage material Uponor II;43,88;;;;
V;404238;;;Universal montage material Uponor I;48,98;;;;
V;404240;;;Universal montage material Uponor II;43,88;;;;
V;404246;;;Kulvert montage material Uponor;43,88;;;;
V;404404;;;Tappvatten Roth;39,38;;;;
V;404502;;;PEM-Rör Pipelife II;69,56;;;;
V;404600;;;Plaströrskoppling PRK TA I;44,54;;;;
V;404602;;;Plaströrskoppling PRK TA II;45,48;;;;
V;404700;;;Vatette Plastkopplingsset Gbg Vvs;58,41;;;;
V;404702;;;Plaströrskoppling Vatette Gbg Vvs;50,87;;;;
V;404880;;;Solar Plus PE tryckrör/slang;60,00;;;;
V;404900;;;Tryckrör Pvs GPA;48,17;;;;
V;404902;;;Tryckrördelar Pvc GPA;56,93;;;;
V;404904;;;Lim och Smörjmedel Henkel;59,71;;;;
V;404906;;;Anborrningsbygel GPA;53,08;;;;
V;404920;;;Stödhylsor För PEX-Rör Ezze;73,99;;;;
V;404970;;;Köldbärarvätska;28,57;;;;
V;404986;;;Smartpress Rör II Viega;56,45;;;;
V;404988;;;Smartpress rördelar II Viega;55,38;;;;
V;404990;;;Solar Plus Smartpress rör I Viega;60,00;;;;
V;404992;;;Solar Plus Smartpress rördelar I Viega;60,00;;;;
V;404994;;;Solar Netto;50,00;;;;
V;404995;;;Solar Plus;60,00;;;;
V;404997;;;Anskaffningsmateriel AVC;30,00;;;;
V;405102;;;Avl.Rör Inomhus Pipelife;63,72;;;;
V;405104;;;Avloppsdelar PP Pipelife;72,69;;;;
V;405108;;;Avloppsdelar PP Stilla (Ljudd.) Pipelife;74,40;;;;
V;405116;;;Avloppsrör Mark PVC Pipelife;54,55;;;;
V;405118;;;Markrördelar PP Pipelife;73,71;;;;
V;405210;;;Avloppsdelar Inomhus PP Uponor;65,59;;;;
V;405300;;;Avl.Rör PP Faluplast;41,48;;;;
V;405302;;;Vulk-Gumminipplar Faluplast;50,53;;;;
V;405304;;;Vacuumvent.F Avlopp Faluplast;50,24;;;;
V;405400;;;Avloppsrör Purus;38,65;;;;
V;405402;;;Avloppsrördelar Purus;47,84;;;;
V;405404;;;Gumminipplar Purus II;47,83;;;;
V;405406;;;Vacuumventiler Avlopp Purus I;28,02;;;;
V;405600;;;Wc-Stos Jafo;53,89;;;;
V;405602;;;Vacuumventil Jafo;42,53;;;;
V;405700;;;Överg.Koppl Fernco Ibeco;50,76;;;;
V;405800;;;Brandtätning Stål & Brand;46,22;;;;
V;405900;;;Markeringslock Ekå;46,67;;;;
V;405906;;;Avloppsrör silent Geberit;46,43;;;;
V;405908;;;Avloppsrördelar silent Geberit;46,43;;;;
V;405910;;;Avloppsrör Silent Pro Geberit;41,84;;;;
V;405911;;;Avloppsdelar Silent Pro Geberit;41,84;;;;
V;405980;;;Solar Plus PP Markrör;60,00;;;;
V;405982;;;Solar Plus Markdelar;60,00;;;;
V;405990;;;Solar Plus PP Rör I;60,00;;;;
V;405991;;;Solar Plus PP Rör II;60,00;;;;
V;405992;;;Solar Plus PP Delar I;60,00;;;;
V;405993;;;Solar Plus PP Delar II;60,00;;;;
V;405994;;;Solar Netto;50,00;;;;
V;405995;;;Solar Plus;60,00;;;;
V;405997;;;Anskaffningsmateriel AVC;30,00;;;;
V;406306;;;Rördelar Dränering Terana;55,29;;;;
V;406990;;;Solar Plus Dräneringsrör;60,00;;;;
V;406991;;;Solar Plus Drändelar;60,00;;;;
V;406992;;;Solar Plus Vägtrummor;60,00;;;;
V;406993;;;Solar Plus Fiberduk;60,00;;;;
V;406994;;;Solar Netto;50,00;;;;
V;406995;;;Solar Plus;60,00;;;;
V;406997;;;Anskaffningsmateriel AVC;30,00;;;;
V;407100;;;Isolering OTbh Nmc;64,16;;;;
V;407102;;;Isolering Tbh Nmc;64,51;;;;
V;407200;;;Isolering Isover Profisol;57,83;;;;
V;407202;;;Ytbeklänad Isogenopak Profisol;54,98;;;;
V;407300;;;Täckbrickor Faluplast;42,01;;;;
V;407302;;;Brickor Faluplast;56,00;;;;
V;407304;;;Rörklammer Faluplast;55,87;;;;
V;407400;;;Klammor, Pro Clamp Snap Kruge;64,60;;;;
V;407402;;;MontageTbh, Montageband Kruge;62,35;;;;
V;407404;;;Klammor, Markrsvep Kruge;62,59;;;;
V;407406;;;Klammor, Kylskålar Kruge;63,99;;;;
V;407408;;;Klammor, Valvstöd Kruge;63,77;;;;
V;407410;;;Klammor, Rundjärnsbygel Kruge;63,20;;;;
V;407412;;;Klammor, Övriga Kruge;59,98;;;;
V;407414;;;Klammor, Duo Clamp Kruge;66,59;;;;
V;407416;;;Fästmaterial, Bladskruv Kruge;62,56;;;;
V;407418;;;Fästmaterial, Pendlar Kruge;62,65;;;;
V;407420;;;Fästmaterial, Skruvstift Kruge;67,13;;;;
V;407422;;;Fästmaterial, Övriga Kruge;64,54;;;;
V;407424;;;Fästmaterial, VVS-Skruv Kruge;66,03;;;;
V;407426;;;MontageTbh, Syskonklammor Kruge;61,48;;;;
V;407428;;;Montagedetaljer, Balkklammer Kruge;61,74;;;;
V;407430;;;MontageTbh, Bladhylsa Kruge;64,13;;;;
V;407432;;;MontageTbh, L- & Z-järn Kruge;62,86;;;;
V;407434;;;Montagedetaljer, Övriga Kruge;61,92;;;;
V;407436;;;MontageTbh, Gängstång Kruge;63,45;;;;
V;407438;;;Skensystem, Pendelfäste Kruge;64,39;;;;
V;407440;;;Skensystem Pressix CC 41 Kruge;61,49;;;;
V;407442;;;Skensystem, Pendelkonsol Kruge;64,16;;;;
V;407444;;;Skensystem Framo 80 Kruge;61,64;;;;
V;407446;;;Skensystem Pressix CC 27 Kruge;63,29;;;;
V;407448;;;Plastprodukter, DC-brickor Kruge;56,98;;;;
V;407502;;;Tätningsmatrial Lundgrens;59,87;;;;
V;407600;;;'Skruv och fästmaterial Kruge;43,88;;;;
V;407602;;;Fästmaterial MEA;64,13;;;;
V;407604;;;Kemiprodukter Sika;60,41;;;;
V;407700;;;Förbrukningsmaterial Unipak;59,24;;;;
V;407702;;;Reservdelar Blandar Unipak;68,64;;;;
V;407800;;;Rörklammer Purus II;51,29;;;;
V;407900;;;Radontätning Wideco;56,31;;;;
V;407904;;;Klamsvep FFZV Gunnar A;62,23;;;;
V;407906;;;Rörklammer Rörklammerfabriken;61,80;;;;
V;407908;;;Klamsvep CU Gunnar A;62,64;;;;
V;407910;;;Klamsvep RFR Gunnar A;64,26;;;;
V;407912;;;Tryckrörsklammer GPA;61,50;;;;
V;407914;;;Tätning Locher;61,86;;;;
V;407918;;;Fästmaterial Imex;63,20;;;;
V;407926;;;Märktape Collinder;59,49;;;;
V;407928;;;Spoltråd Jowema;55,74;;;;
V;407930;;;Tape Eurocool;61,80;;;;
V;407932;;;Vägsalt Hansson & Möhring;54,19;;;;
V;407934;;;Rörklammer Pipelife;72,00;;;;
V;407994;;;Solar Netto;50,00;;;;
V;407995;;;Solar Plus;60,00;;;;
V;407997;;;Anskaffningsmateriel AVC;30,00;;;;
V;408100;;;Solar Plus Kulventiler VA Gbg Vvs;53,69;;;;
V;408102;;;Kulventiler Frese Gbg Vva;47,01;;;;
V;408200;;;Kulventiler VVS Beulco I;49,35;;;;
V;408202;;;Kulventiler VVS Beulco II;48,09;;;;
V;408206;;;Kulventil Filterball Beulco;49,00;;;;
V;408214;;;Bottenventiler Beulco;42,57;;;;
V;408350;;;Servisventiler Ulefos;47,96;;;;
V;408400;;;Kulventiler TA;50,14;;;;
V;408600;;;Kulvent Stål Broen;48,22;;;;
V;408610;;;Ventiler  Vexve / NAVAL;38,78;;;;
V;408700;;;Slang Lundgrens;56,38;;;;
V;408702;;;Slangkoppl. oTbh Lundgrens;57,56;;;;
V;408704;;;Tryckluftskopplingar Lundgren;67,57;;;;
V;408800;;;Kikbox+Lock EZZE;49,67;;;;
V;408802;;;SLANGKOPPL. EZZE;57,54;;;;
V;408900;;;Magnetventiler Danfoss;43,72;;;;
V;408906;;;Va-Ventiler OTbh Ekå;38,27;;;;
V;408910;;;Verktyg Cejn Sohlberg;55,07;;;;
V;408914;;;Sllanghylla Elajo;57,21;;;;
V;408916;;;Slangkoppl. oTbh Elajo;56,15;;;;
V;408920;;;Kulventiler Pvc Gpa;63,18;;;;
V;408994;;;Solar Netto;50,00;;;;
V;408995;;;Solar Plus;60,00;;;;
V;408997;;;Anskaffningsmateriel AVC;30,00;;;;
V;409100;;;Termostatventil MMA I;47,05;;;;
V;409101;;;Termostatventil MMA X;47,84;;;;
V;409102;;;Termostatventil MMA II;48,41;;;;
V;409104;;;Termostatventil Tbh MMA;46,81;;;;
V;409106;;;Termventil (Polerat) MMA;48,43;;;;
V;409108;;;Radiatorkoppel MMA;54,76;;;;
V;409110;;;Returventiler MMA;47,96;;;;
V;409112;;;Gruppventil MMA;47,71;;;;
V;409114;;;Reglerventiler MMA;48,99;;;;
V;409116;;;Tbh Tryckkärl MMA;48,48;;;;
V;409200;;;Term.Ventil Danfoss;42,30;;;;
V;409201;;;Term.Ventil Danfoss X;43,17;;;;
V;409202;;;Reglerventiler Danfoss;45,46;;;;
V;409203;;;Radiatorventil Danfoss Pure;43,17;;;;
V;409300;;;Termmostat Ventil TA;52,76;;;;
V;409302;;;Radiatorkoppel Ta;53,01;;;;
V;409304;;;Radiator O Returkoppl Ta;45,47;;;;
V;409305;;;Returkopplingar IMI;52,04;;;;
V;409306;;;Returventiler Ta;45,32;;;;
V;409310;;;Reglerventiler Ta;46,87;;;;
V;409312;;;Reglerventil Ta I;47,41;;;;
V;409314;;;Reglerventil Ta II;47,46;;;;
V;409316;;;Reglerventil Stad/Stap TA;49,93;;;;
V;409318;;;Avluftare TA;45,21;;;;
V;409400;;;Shunt och Blandningsventiler Esbe;47,28;;;;
V;409404;;;Beredararmatur Esbe;45,69;;;;
V;409406;;;Vacuumventiler Esbe;43,83;;;;
V;409408;;;Backventiler Esbe;49,94;;;;
V;409500;;;Beredararmatur Lk;42,24;;;;
V;409502;;;Shunt och Blandningsventil Lk;43,56;;;;
V;409504;;;Säkerhetsventiler Lk;51,20;;;;
V;409506;;;Flottöravluftare Lk;46,52;;;;
V;409508;;;Vacuumventiler Lk;39,84;;;;
V;409600;;;Backventiler Beulco;46,50;;;;
V;409602;;;Backventiler Kontrollerbar Beulco;44,56;;;;
V;409604;;;Säkerhetsventiler Beulco;52,58;;;;
V;409606;;;Smutsfilter Beulco;53,28;;;;
V;409608;;;Reglerventiler Beulco;51,21;;;;
V;409610;;;Avluftare Beulco;45,82;;;;
V;409614;;;Teknisk Armatur Beulco;46,58;;;;
V;409800;;;Luftningsventil Ezze;49,92;;;;
V;409802;;;Backventiler Ezze;46,41;;;;
V;409902;;;Reglerventiler Nordicold;45,72;;;;
V;409904;;;Avluftare Retherm;42,54;;;;
V;409908;;;Luftningsventil Ema;46,17;;;;
V;409914;;;Avluftare Flamco;45,89;;;;
V;409916;;;Luftnyckel 4AX Holmgrens;46,13;;;;
V;409918;;;Ventilrör Durgo;43,36;;;;
V;409920;;;Vacuumventiler Durgo;39,74;;;;
V;409922;;;Säkerhetsventil Durgo;48,32;;;;
V;409924;;;Backventil JCH;49,99;;;;
V;409928;;;Gummikompensatorer Teddington;49,68;;;;
V;409930;;;Säkerheysventil Somatherm;44,48;;;;
V;409990;;;Solar Plus Radiatortermostat;60,00;;;;
V;409991;;;Solar Plus Radiator Tbh;60,00;;;;
V;409994;;;Solar Netto;50,00;;;;
V;409995;;;Solar Plus;60,00;;;;
V;409997;;;Anskaffningsmateriel AVC;30,00;;;;
V;410100;;;Vattenmätarkonsol Beulco;40,28;;;;
V;410104;;;Mätinstrument Beulco;46,65;;;;
V;410106;;;HydroforTbh Beulco;45,31;;;;
V;410200;;;Vattenmätarekopplingar Mässing Ezze;59,48;;;;
V;410202;;;Vattenmätare MTbh Ezze;42,51;;;;
V;410300;;;Vattenmätare Broen;56,61;;;;
V;410350;;;Vattenmätarkonsol Villeroy & Boch;40,82;;;;
V;410400;;;Vattenmätare M.Tbh Lk;46,30;;;;
V;410500;;;Vattenmätare  GMJ;51,10;;;;
V;410600;;;Mätinstrument ventiler Rubens;47,17;;;;
V;410700;;;Mätinstrument Brannan;45,40;;;;
V;410994;;;Solar Netto;50,00;;;;
V;410997;;;Anskaffningsmateriel AVC;30,00;;;;
V;411099;;;Golvbrunnar Purus X;36,48;;;;
V;411100;;;Golvbrunnar Purus I;36,48;;;;
V;411102;;;Golvbrunnar Purus II;37,30;;;;
V;411104;;;Tbh Golvbrunn Purus;34,88;;;;
V;411106;;;Golvbrunnar Gjutna/Rostfritt Purus;38,69;;;;
V;411108;;;Golvbrunnar Rostfritt Purus;35,49;;;;
V;411110;;;Purus Line;32,81;;;;
V;411200;;;Golvbrunnar Jafo I;39,02;;;;
V;411202;;;Golvbrunnar Jafo II;38,17;;;;
V;411204;;;Tbh Golvbrunnar Jafo;40,11;;;;
V;411206;;;Unidrain Golvrännor och Tbh Jafo;27,43;;;;
V;411208;;;Spolbrunnar Jafo;58,91;;;;
V;411300;;;Golvbrunnar Spygatter M Thb Faluplast;36,57;;;;
V;411400;;;Golvbrunnar Blucher;39,77;;;;
V;411906;;;Lätta Brunnslock;24,57;;;;
V;411990;;;Solar Plus Rensbrunnar;60,00;;;;
V;411992;;;Solar Plus Brunnar;60,00;;;;
V;411994;;;Solar Netto;50,00;;;;
V;411995;;;Solar Plus;60,00;;;;
V;411997;;;Anskaffningsmateriel AVC;30,00;;;;
V;412100;;;Reglersystem Esbe;38,82;;;;
V;412302;;;Shuntautomatik LK Armatur;35,71;;;;
V;412600;;;Vattensäkring Waterfuse MTbh Prevecta;26,10;;;;
V;412650;;;VATTENFELSBRYTARE VATETTE;28,57;;;;
V;412660;;;Vattenfelsbrytare LK System;36,73;;;;
V;412670;;;Vattenfelsbrytare Grohe;39,80;;;;
V;412700;;;Varishunt Sie;31,46;;;;
V;412702;;;Varishunt Tbh Sie;29,56;;;;
V;412704;;;Ventilställdon Elektrohydrauliska SIE;23,01;;;;
V;412706;;;Ventilställdon Elektrmekaniska Sie;19,45;;;;
V;412708;;;Tbh Ställdon Sie;25,31;;;;
V;412710;;;Styrventiler Sie;30,06;;;;
V;412712;;;Styrventil Magnetic Sie;26,94;;;;
V;412714;;;Sätesventiler Tbh Sie II;26,72;;;;
V;412716;;;Sätesventiler Tbh Sie I;26,05;;;;
V;412720;;;Givare Termostater Sie;16,86;;;;
V;412722;;;Regulatorer Sie;26,81;;;;
V;412724;;;Synco Living Starter Kit Sie;32,32;;;;
V;412726;;;Syncro Living Tbh Sie;36,91;;;;
V;412994;;;Solar Netto;50,00;;;;
V;412995;;;Solar Plus;60,00;;;;
V;412997;;;Anskaffningsmateriel AVC;30,00;;;;
V;413300;;;Tryckkärl IPX Beulco;48,21;;;;
V;413302;;;Tryckvattenbehållar Beulco;36,44;;;;
V;413304;;;Tbh Tryckkärl Beulco;40,12;;;;
V;413306;;;Partikelfilter M Tbh Beulco;49,66;;;;
V;413410;;;Hydropresser Debe;33,67;;;;
V;413702;;;Tbh Tryckkärl Somatherm;39,56;;;;
V;413800;;;Exp. Kärl Flexcon oTbh Flamco;44,36;;;;
V;413802;;;Tryckkärl Flexcon Flamco;31,63;;;;
V;413910;;;HydroforTbh LK;48,97;;;;
