Kod;Produktgrupp;Artikelnr;RSK-nr;Benämning;Rabatt;Rabatt2;NtoPris;ArtRabatt
V;313222;;;Elektronik Fästmateriel 52 Elko;62,35;;;;
V;313226;;;Apparater RS Renvit 58 Elko;58,75;;;;
V;313240;;;DIMMER RG36 ELKO;53,19;;;;
V;313300;;;Rörelse - Och Närvaro Delta SIE;50,00;;;;
V;313304;;;N-komp timers & kopplingsur 025 SIE;66,12;;;;
V;313400;;;Närvarodetektor Esylux I;54,44;;;;
V;313402;;;Närvarodetektor Esylux II;52,04;;;;
V;313406;;;Närvaro- o Rörelsedektektorer  Esylux;52,72;;;;
V;313408;;;Närvaro- o RörelsedetektorTbh Esylux I;52,02;;;;
V;313410;;;Närvaro- o RörelsedetektorTbh Esylux II;51,02;;;;
V;313412;;;Rörelsedetektor Esylux;51,56;;;;
V;313416;;;Skymmningsrelä Esylux;54,97;;;;
V;313500;;;Dimmer ABB;53,27;;;;
V;313502;;;Dimmer Impressivo ABB II;56,94;;;;
V;313504;;;Dimmer Impressivo ABB I;57,04;;;;
V;313506;;;Dimmer Saga ABB;54,15;;;;
V;313510;;;Rörelsevakter ABB I;58,99;;;;
V;313512;;;Rörelsevakter ABB II;54,90;;;;
V;313514;;;Rörelsevakter Saga ABB;54,15;;;;
V;313600;;;Tidsstyrning Theben I;64,64;;;;
V;313602;;;Tidsstyrning Theben II;54,00;;;;
V;313604;;;Dimmer Theben;39,04;;;;
V;313610;;;Ljusrelä - Trappaut Theben;51,86;;;;
V;313614;;;Närvaro- & rörelsedetektorer Theben;54,72;;;;
V;313700;;;Ljusreglering Hager;57,65;;;;
V;313702;;;Ljusreglering Berker S1 Hager;54,49;;;;
V;313706;;;Kopplingsur Hager;58,17;;;;
V;313800;;;Ljusreglering Eltako I;57,45;;;;
V;313802;;;Ljusreglering Eltako II;56,12;;;;
V;313820;;;Dimmer Vadsbo I;51,51;;;;
V;313822;;;Dimmer Vadsbo II;51,82;;;;
V;313840;;;Ljusreglering Steinel II;55,85;;;;
V;313842;;;Ljusreglering Steinel I;52,09;;;;
V;313860;;;Spisvakter Norwesco;49,24;;;;
V;313880;;;Black Lable Servodan I;60,20;;;;
V;313882;;;Black Lable Servodan II;52,77;;;;
